subject,body,category
Unboxing video,Where can I find an unboxing or tutorial video for your product,General
Second hand items,Do you sell refurbished or second hand products,General
Event sponsorship,I want to inquire about event sponsorship from your company,General
Whitepaper download,Where can I download your whitepapers and case studies,General
Social responsibility,What social responsibility initiatives does your company run,General
Age verification,The website is asking for age verification and I cannot proceed,General
Carbon offset,Does your company offset carbon emissions for deliveries,General
Donation drive,Is the company running any donation or charity drive,General
Billing portal access,I cannot log in to the billing portal,Billing
Prorated charge,Can you explain the prorated charge on my invoice,Billing
Payment receipt missing,I completed payment but did not get a receipt,Billing
Subscription transfer,Can I transfer my subscription to another user,Billing
Auto debit cancel,I want to cancel my auto debit mandate,Billing
Unused days refund,I cancelled mid-month and want a refund for unused days,Billing
Invoice VAT,The VAT amount on my invoice seems incorrect,Billing
Credit card limit,My payment failed because it exceeded my credit card limit,Billing
Billing email wrong,The billing receipts are going to the wrong email address,Billing
Late invoice,I received an invoice weeks after the payment due date,Billing
Loyalty discount,I am a long-term customer and want a loyalty discount,Billing
Family plan billing,I am being billed separately for a family plan that should be combined,Billing
Team billing,How do I set up a single invoice for my entire team,Billing
Reactivation charge,I was charged a reactivation fee without prior notice,Billing
Offline payment,Can I pay my invoice via cash or cheque,Billing
Reward points redemption,My reward points are not being applied at checkout,Billing
Annual receipt,Can I get a single annual payment receipt for tax purposes,Billing
Overpayment,I accidentally paid more than the invoice amount,Billing
Subscription not activated,I paid for a subscription but it has not been activated,Billing
GST number update,I need to add my GST number to the invoice,Billing
Dark theme issue,The dark theme breaks the layout on certain pages,Technical
App language reset,The app language keeps reverting to English after I change it,Technical
Touch ID not working,Touch ID or Face ID is not unlocking the app,Technical
Shared link broken,A shared link sent by a colleague leads to a 404 error,Technical
Emoji not displaying,Emojis are not rendering correctly in messages,Technical
Sort not working,The sort functionality in the table is not working correctly,Technical
Filter not applying,Filters I apply are not showing the correct results,Technical
Multiple login sessions,I am being logged out when I log in on another device,Technical
Desktop app crash,The desktop application crashes on startup,Technical
Browser extension,Your browser extension is not loading in my browser,Technical
Screen reader,Your website is not compatible with screen reader software,Technical
Watermark issue,An unwanted watermark is appearing on my exported files,Technical
Animation glitch,There is a visual glitch in the animation on the homepage,Technical
Audio not working,Audio is not playing in the in-app video player,Technical
Table formatting,Table formatting is broken when I copy content from the app,Technical
Token expired,I keep getting a token expired error after a few minutes,Technical
Microphone access,The app is not requesting microphone access correctly,Technical
Location not updating,My current location is not updating in real time in the app,Technical
Biometric login,Biometric login stopped working after the latest app update,Technical
Batch upload error,Batch file uploads are failing after a certain number of files,Technical
Internship offer letter,I need my internship offer letter from HR,HR
Long service award,How do I know if I am eligible for a long service award,HR
Sabbatical leave,Does the company offer sabbatical leave,HR
Adoption leave,What is the adoption leave policy,HR
Medical certificate,I need a medical certificate format accepted by the company,HR
Workplace accident,How do I report a workplace accident or injury,HR
Training reimbursement,Will the company reimburse my external training costs,HR
Union membership,How do I contact the employee union,HR
HR helpdesk,What is the HR helpdesk contact number or email,HR
Job rotation,I want to request a job rotation opportunity,HR
Career development,Does the company offer career development programs,HR
Mentorship program,Is there a mentorship program for junior employees,HR
Employee recognition,How do I nominate a colleague for an employee award,HR
Work permit,I need assistance with my work permit or visa documentation,HR
Conflict resolution,How do I resolve a conflict with my manager,HR
Pension scheme,What pension or retirement scheme does the company offer,HR
Team building,I want to organize a team building activity,HR
Wellness program,What wellness programs are available for employees,HR
Annual leave carry over,Can I carry forward unused annual leave to next year,HR
Performance improvement,I have been placed on a PIP and need guidance,HR
Product bundle,Do you offer any product bundles or combo deals,General
Student discount,Is there a student discount available,General
Senior citizen discount,Do you offer discounts for senior citizens,General
Birthday offer,Do you send any special birthday offers or discounts,General
Subscription gift,Can I gift a subscription to someone else,General
Virtual event,Do you host any virtual events or webinars,General
Knowledge base,Where can I find your knowledge base or help articles,General
Service outage,Is there a current service outage or maintenance,General
Status page,Do you have a system status or uptime page,General
Feedback form,Where can I submit a formal feedback form,General
Product photo,The product photos on the website do not match what I received,General
Reorder,How do I quickly reorder a previous purchase,General
Gift message,Can I add a gift message to my order,General
Saturday delivery,Do you offer Saturday or weekend delivery,General
Packaging type,What type of packaging do you use for shipping,General
COD option,Is cash on delivery available in my area,General
Order limit,Is there a maximum order quantity per customer,General
Minimum order,Is there a minimum order value for free shipping,General
Corporate account,How do I set up a corporate or business account,General
Loyalty points expiry,When do my loyalty points expire,General
Payment declined again,My payment was declined for the second time today,Billing
Subscription locked,My subscription is locked even though I paid,Billing
Gift subscription,I want to purchase a gift subscription for a friend,Billing
Payment notification,I am not receiving payment confirmation notifications,Billing
Invoice sequence,My invoice numbers are not in sequence,Billing
Billing freeze,My account is frozen due to a billing issue,Billing
Invoice download,I cannot find where to download past invoices,Billing
Address mismatch,The billing address on my invoice does not match my records,Billing
Promotion expired,A promotion was applied to my cart but expired at checkout,Billing
Recurring charge,I do not understand what a recurring charge on my bill is for,Billing
Payment split error,My split payment did not process correctly,Billing
Balance insufficient,My payment failed due to insufficient account balance,Billing
Billing dispute outcome,What is the outcome of my billing dispute I raised last week,Billing
Card not saved,My card details are not being saved for future payments,Billing
Invoice currency,Why is my invoice in a different currency than expected,Billing
Charge reversal,Has the charge been reversed on my account yet,Billing
Invoice item missing,One line item is missing from my invoice,Billing
VAT refund,I am eligible for a VAT refund on my purchase,Billing
Monthly cap,Is there a spending cap on my monthly subscription,Billing
Payment delay,My payment was processed late and I was charged a penalty,Billing
Service charge,What does the service charge on my invoice cover,Billing
Invoice date wrong,The date on my invoice is incorrect,Billing
Debit card payment,Can I pay using a debit card instead of a credit card,Billing
Mobile payment,Is there a mobile payment option like Paytm or PhonePe,Billing
Installment plan,Can I pay for this product in installments,Billing
Payment hold,My payment is on hold and I need it released,Billing
Billing audit,I want an audit of all my billing transactions,Billing
Declined notification,I did not receive a notification when my payment was declined,Billing
Price increase,My subscription price increased without any advance notice,Billing
Trial extension,Can I extend my free trial period,Billing
Invoice number,I need a specific invoice number for my company records,Billing
Refund mode,In which mode will my refund be processed,Billing
One time payment,Can I make a one-time payment without subscribing,Billing
Payment reversal pending,My payment reversal is pending for more than a week,Billing
Upgrade cost,How much will it cost to upgrade my current plan,Billing
Invoice template,Can I customize the invoice template with my company logo,Billing
Payment expiry,My payment session expired and the order failed,Billing
Subscription history,Where can I see my full subscription history,Billing
Tax credit,I am entitled to a tax credit on this purchase,Billing
Invoice generation,When is my invoice generated each month,Billing
Partial payment,Can I make a partial payment and pay the rest later,Billing
Payment method saved,My saved payment method was deleted from my profile,Billing
Billing support,Can I speak to a billing support agent directly,Billing
Checkout error,I am getting an error at the checkout payment screen,Billing
Price match,Can you match a lower price I found on another website,Billing
Billing notification,I am not receiving any billing notification emails,Billing
Credit limit increase,Can you increase the credit limit on my account,Billing
Final invoice,I need a final invoice after cancelling my account,Billing
Invoice frequency,Can I change how often I receive invoices,Billing
Payment agreement,I want to set up a payment agreement for an overdue balance,Billing
Currency lock,Can I lock my billing currency to avoid conversion fees,Billing
Pricing error,The price shown at checkout is different from what was advertised,Billing
Grace period,Is there a grace period after my subscription expires,Billing
Billing department,How do I reach the billing department directly,Billing
Service tax,What is the service tax rate applied to my invoice,Billing
Invoice resend,Can you resend my invoice to my email,Billing
Payment gateway error,I am getting a gateway error during payment,Billing
Adjustment credit,I see an adjustment credit on my invoice I do not understand,Billing
Multiple currencies,My team needs multi-currency invoicing for different countries,Billing
Invoice dispute formal,I want to formally dispute the amount shown on my invoice,Billing
Free credits missing,I received free credits but they are not appearing on my account,Billing
Subscription gap,There is a gap in my subscription dates that I was not aware of,Billing
Overdraft charge,My bank charged me an overdraft fee due to your payment attempt,Billing
Invoice PO number,Can I add a purchase order number to my invoice,Billing
Billing discrepancy,There is a discrepancy between what I was quoted and billed,Billing
VAT number update,I need to add my VAT number to my billing profile,Billing
Annual billing discount,Is there a discount if I switch to annual billing,Billing
Invoice sent late,My invoice was sent after the due date,Billing
Card not accepted,My card type is not accepted on your payment page,Billing
Points balance,What is my current reward points balance,Billing
Renewal reminder,I did not receive a renewal reminder before my subscription expired,Billing
Unpaid invoice alert,I have an unpaid invoice I was not aware of,Billing
Billing cycle end,When does my current billing cycle end,Billing
Second payment attempt,Will the system automatically retry a failed payment,Billing
Cancellation refund,I cancelled my subscription today and want a refund for this month,Billing
Invoice notes,Can I add custom notes to my invoice for my accountant,Billing
Admin billing access,I want to give my accountant access to billing details only,Billing
Payment page crash,The payment page crashes when I try to complete my purchase,Billing
Downgrade still charged,I downgraded my plan but was still charged the higher amount,Billing
Coupon expiry,My coupon expired before I could use it,Billing
Billing profile update,How do I update my billing profile information,Billing
Invoice frequency change,Can I switch from monthly invoicing to quarterly,Billing
Subscription auto cancel,Why was my subscription automatically cancelled,Billing
Payment deadline extension,Can I get an extension on my payment deadline,Billing
Account suspended billing,My account was suspended due to a billing issue,Billing
Lifetime deal,Do you offer a lifetime deal or one-time payment option,Billing
Price lock,Can I lock in my current price when I renew,Billing
Billing contact change,How do I change the billing contact person on my account,Billing
Failed payment retry,When will you retry the failed payment on my account,Billing
Refund processing delay,My refund has been processing for over 10 days,Billing
Bill shock,My bill this month is significantly higher than usual,Billing
Coupon combination,Can I use more than one coupon on a single order,Billing
Referral credit missing,I referred a friend but did not receive my referral credit,Billing
Payment blocked,My payment is being blocked and I do not know why,Billing
Invoice export bulk,Can I export all my invoices in a bulk download,Billing
Balance transfer,Can I transfer the balance from one account to another,Billing
Tax invoice format,Is your tax invoice format accepted by government portals,Billing
App freezing,The app freezes when I try to open a specific section,Technical
Loading spinner stuck,A loading spinner keeps spinning and never completes,Technical
Redirect loop,I am being caught in a redirect loop on your website,Technical
White screen,I get a white screen when I open the application,Technical
Black screen,The app shows a black screen after the splash screen,Technical
Scroll not working,I cannot scroll the page on mobile devices,Technical
Fullscreen mode,Fullscreen mode is not working in the video player,Technical
Notification sound,The notification sound is not playing on my device,Technical
Badge count wrong,The app badge count on my phone icon is incorrect,Technical
Widget not loading,The home screen widget is not loading any data,Technical
Sync error,I get a sync error every time I try to sync my data,Technical
Multi tab issue,Opening the app in multiple tabs causes errors,Technical
High CPU usage,Your application is using very high CPU on my computer,Technical
Battery drain,The app drains my phone battery very quickly,Technical
Storage full error,The app says my storage is full but I have enough space,Technical
Bluetooth issue,The app cannot connect to my Bluetooth device,Technical
Screenshot blocked,The app blocks me from taking screenshots,Technical
Haptic feedback,Haptic feedback is not working in the mobile app,Technical
Night mode,Night mode is not changing the app appearance,Technical
Text zoom,Changing the text size in settings does not take effect,Technical
Language stuck,I changed the app language but some text is still in the old language,Technical
Country setting,I cannot change my country setting in my profile,Technical
PIN setup,I cannot set up a PIN lock for the app on my device,Technical
Widget configuration,I cannot configure or customize the dashboard widgets,Technical
Third party login,I cannot log in using my Google or Facebook account,Technical
Deep link,A deep link in an email is not opening the correct app screen,Technical
Barcode scanner,The barcode scanner in the app is not reading codes correctly,Technical
OCR feature,The text recognition feature is not reading text correctly,Technical
Signature feature,The digital signature feature is not working,Technical
Captcha issue,The CAPTCHA on your login page is not loading,Technical
Map zoom,The map zoom controls are not responding to touch,Technical
Route calculation,The route calculation in your app is showing wrong directions,Technical
Profile sync,My profile changes are not syncing to the server,Technical
Contact import,I cannot import my contacts into the application,Technical
CSV import error,CSV file import is failing with a format error,Technical
Bulk action,Bulk actions like select all and delete are not working,Technical
Undo function,The undo function is not reverting my last action,Technical
History log,The activity history log is not showing recent actions,Technical
Recycle bin,Items I deleted are not appearing in the recycle bin,Technical
Archive feature,The archive feature is not moving items correctly,Technical
Label feature,Labels or tags are not being applied to items correctly,Technical
Comment section,I cannot post comments in the comment section,Technical
Mention feature,The mention feature is not notifying the tagged user,Technical
Reaction feature,Emoji reactions are not being saved on messages,Technical
Thread reply,I cannot reply to a specific message thread,Technical
Pin message,The pin message feature is not working in the group chat,Technical
Media preview,Media files are not previewing inside the chat window,Technical
File sharing chat,File sharing in the chat is not working,Technical
Group admin,I cannot assign admin rights to a group member,Technical
Leave group,I am unable to leave a group in the application,Technical
Block user,The block user feature is not working correctly,Technical
Privacy setting reset,My privacy settings keep resetting to default,Technical
Account merge,I want to merge two accounts but the option is not available,Technical
Account recovery,I cannot recover my account using the backup codes,Technical
Security alert unknown,I received a security alert for a login I did not perform,Technical
Login history,The login history page is not showing accurate information,Technical
Connected apps,I cannot view or remove connected third-party apps,Technical
API key generation,I cannot generate a new API key from the dashboard,Technical
API rate limit,I am hitting the API rate limit too quickly,Technical
Sandbox mode,The sandbox mode is not working correctly for testing,Technical
Webhook setup,I cannot set up a webhook for my integration,Technical
Documentation link,The documentation link in the app leads to a 404 page,Technical
Error code 500,I am seeing error code 500 and do not know what it means,Technical
Timeout settings,The session timeout setting is not saving my preference,Technical
Two device login,I cannot be logged into two devices at the same time,Technical
Admin panel,The admin panel is not loading correctly for my account,Technical
Role assignment,I cannot assign a new role to a team member,Technical
Audit log,The audit log is not capturing all user actions,Technical
SAML login,SAML single sign-on login is not working,Technical
SSO configuration,I cannot configure SSO for my organization,Technical
Domain verification,The domain verification step is failing,Technical
Email template broken,The email notification template is showing broken formatting,Technical
Scheduled task,A scheduled task I set up is not running at the right time,Technical
Data migration,The data migration tool is failing midway,Technical
Bulk export timeout,The bulk data export is timing out before completion,Technical
Storage quota,I have exceeded my storage quota but it shows as empty,Technical
File versioning,Previous versions of my file are not accessible,Technical
Thumbnail generation,Image thumbnails are not being generated correctly,Technical
Encoding error,I am getting a character encoding error in text fields,Technical
Date format,The date format in the app does not match my region settings,Technical
Time zone wrong,Event times are showing in the wrong time zone,Technical
Calendar event missing,Calendar events I create are disappearing after a day,Technical
Reminder not fired,A reminder I set in the app did not go off,Technical
Autocomplete wrong,The autocomplete is showing outdated or wrong suggestions,Technical
Spell check,The spell check feature is highlighting correct words as errors,Technical
Screen reader,Your website is not compatible with screen reader software,Technical
Watermark issue,An unwanted watermark is appearing on my exported files,Technical
